Date_SPX,SPX_Index,PX_VOLUME_SPX,Date_AXX,AXX_Index,PX_VOLUME_AXX,Date_CLXP,CLXP_Index,PX_VOLUME_CLXP,Date_ITLMS,ITLMS_Index,PX_VOLUME_ITLMS,Date_AS52,AS52_Index,PX_VOLUME_AS52,Date_SHSZ300,SHSZ300_Index,PX_VOLUME_SHSZ300
9/16/2019,2997.96,503095882,9/17/2019,884.49,1112033450,9/16/2019,8830.54,42978768,9/16/2019,23928.75,611060159,9/16/2019,6633.32,917484887,9/18/2019,3910.08,8205615233
9/17/2019,3005.7,478756144,9/18/2019,884.5,1589578357,9/17/2019,8822.71,47612259,9/17/2019,23755.93,612572145,9/17/2019,6654.38,860462087,9/19/2019,3924.38,8598423763
9/18/2019,3006.73,506970627,9/19/2019,885.76,1245216546,9/18/2019,8824.3,36383917,9/18/2019,23899.57,429449208,9/18/2019,6642.13,883311394,9/20/2019,3935.65,10345595487
9/19/2019,3006.79,466918496,9/20/2019,886.48,1285118851,9/19/2019,8873.76,40026378,9/19/2019,24089.12,568381198,9/19/2019,6676.7,1180134892,9/23/2019,3890.66,9403622500
9/20/2019,2992.07,1610555637,9/23/2019,885.04,1236685706,9/20/2019,8792.57,103270425,9/20/2019,24080.87,753311517,9/20/2019,6689.69,1758135321,9/24/2019,3901.08,8778323013
9/23/2019,2991.78,475428043,9/24/2019,881.1,1774505096,9/23/2019,8703.59,60328577,9/23/2019,23835.51,491242263,9/23/2019,6708.95,694612948,9/25/2019,3870.98,8952083464
9/24/2019,2966.6,599469001,9/25/2019,874.69,1872231447,9/24/2019,8679.49,44467740,9/24/2019,23844.32,487007646,9/24/2019,6707.98,733993564,9/26/2019,3841.14,10269830095
9/25/2019,2984.87,510070023,9/26/2019,871.23,2701296726,9/25/2019,8695.49,49621667,9/25/2019,23715.91,584536393,9/25/2019,6669.67,944335100,9/27/2019,3852.65,7400394670
9/26/2019,2977.62,452508818,9/27/2019,872.7,3058174660,9/26/2019,8698.5,42702492,9/26/2019,23891.22,410779908,9/26/2019,6638.48,734174640,9/30/2019,3814.53,6593131283
9/27/2019,2961.79,477747416,9/30/2019,872.97,3738336600,9/27/2019,8737.5,57806828,9/27/2019,23961.46,433736732,9/27/2019,6675.64,760206977,10/8/2019,3837.68,7665785960
9/30/2019,2976.74,496904390,10/1/2019,874.98,6309209680,9/30/2019,8765.21,44740426,9/30/2019,24066.07,460376363,9/30/2019,6649.88,769907322,10/9/2019,3843.24,7585451224
10/1/2019,2940.25,487737183,10/2/2019,866.48,6583488539,10/1/2019,8674.38,53817423,10/1/2019,23871,599428326,10/1/2019,6702.84,809131388,10/10/2019,3874.64,7922269416
10/2/2019,2887.61,605438170,10/3/2019,858.28,3664928521,10/2/2019,8500.53,49433438,10/2/2019,23211.48,779267643,10/2/2019,6601.93,754523652,10/11/2019,3911.73,9341257658
10/3/2019,2910.63,490037007,10/4/2019,863.3,3179943910,10/4/2019,8625.15,48138913,10/3/2019,23214.44,537423892,10/3/2019,6459.07,854973748,10/14/2019,3953.24,12239361148
10/4/2019,2952.01,450077902,10/7/2019,863.06,3524358334,10/7/2019,8648.61,34572060,10/4/2019,23388.8,526239464,10/4/2019,6482.25,583747034,10/15/2019,3936.25,8527394874
